p5,1377643361740,clear,undefined,undefined
p5,1377643426636,pan,geo-0-1,5,0
p5,1377643426663,pan,geo-0-1,4,1
p5,1377643426689,pan,geo-0-1,5,2
p5,1377643426706,pan,geo-0-1,2,1
p5,1377643426725,pan,geo-0-1,0,2
p5,1377643426892,pan,geo-0-1,0,0
p5,1377643427941,pan,geo-0-1,1,0
p5,1377643427957,pan,geo-0-1,3,0
p5,1377643427973,pan,geo-0-1,6,0
p5,1377643427991,pan,geo-0-1,4,0
p5,1377643428010,pan,geo-0-1,5,1
p5,1377643428050,pan,geo-0-1,10,4
p5,1377643428076,pan,geo-0-1,5,2
p5,1377643428107,pan,geo-0-1,6,3
p5,1377643428124,pan,geo-0-1,1,3
p5,1377643428360,pan,geo-0-1,1,0
p5,1377643428392,pan,geo-0-1,4,2
p5,1377643428427,pan,geo-0-1,19,10
p5,1377643428457,pan,geo-0-1,5,3
p5,1377643428494,pan,geo-0-1,12,6
p5,1377643428533,pan,geo-0-1,4,3
p5,1377643428558,pan,geo-0-1,1,2
p5,1377643428929,pan,geo-0-1,1,-1
p5,1377643428958,pan,geo-0-1,2,-1
p5,1377643428977,pan,geo-0-1,3,-2
p5,1377643429008,pan,geo-0-1,5,-1
p5,1377643429033,pan,geo-0-1,3,-1
p5,1377643429054,pan,geo-0-1,8,-1
p5,1377643429070,pan,geo-0-1,5,-1
p5,1377643429086,pan,geo-0-1,1,-1
p5,1377643429103,pan,geo-0-1,2,-1
p5,1377643429119,pan,geo-0-1,1,0
p5,1377643429136,pan,geo-0-1,0,-1
p5,1377643429153,pan,geo-0-1,1,0
p5,1377643429170,pan,geo-0-1,1,-1
p5,1377643429188,pan,geo-0-1,1,0
p5,1377643429206,pan,geo-0-1,0,-1
p5,1377643429225,pan,geo-0-1,1,0
p5,1377643429237,pan,geo-0-1,0,0
p5,1377643429285,pan,geo-0-1,-511,0
p5,1377643429438,pan,geo-0-1,0,0
p5,1377643429452,pan,geo-0-1,1,0
p5,1377643429485,pan,geo-0-1,2,1
p5,1377643429501,pan,geo-0-1,1,1
p5,1377643429519,pan,geo-0-1,1,0
p5,1377643429552,pan,geo-0-1,0,1
p5,1377643429568,pan,geo-0-1,0,0
p5,1377643429588,pan,geo-0-1,0,1
p5,1377643429603,pan,geo-0-1,-2,1
p5,1377643429630,pan,geo-0-1,507,2
p5,1377643429657,pan,geo-0-1,-18,3
p5,1377643429676,pan,geo-0-1,-6,0
p5,1377643429706,pan,geo-0-1,-5,0
p5,1377643429723,pan,geo-0-1,-2,0
p5,1377643429739,pan,geo-0-1,-1,0
p5,1377643429910,pan,geo-0-1,1,0
p5,1377643429957,pan,geo-0-1,3,0
p5,1377643429990,pan,geo-0-1,4,2
p5,1377643430018,pan,geo-0-1,3,1
p5,1377643430046,pan,geo-0-1,5,4
p5,1377643430074,pan,geo-0-1,3,3
p5,1377643430091,pan,geo-0-1,1,2
p5,1377643430107,pan,geo-0-1,0,1
p5,1377643430127,pan,geo-0-1,1,1
p5,1377643430159,pan,geo-0-1,0,1
p5,1377643430402,pan,geo-0-1,0,0
p5,1377643431977,pan,geo-0-1,-3,0
p5,1377643432021,pan,geo-0-1,-7,-1
p5,1377643432041,pan,geo-0-1,-2,0
p5,1377643432059,pan,geo-0-1,-3,0
p5,1377643432090,pan,geo-0-1,-2,0
